"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G5-100066","armbrust_grc_rnaseq_21",1642401,"Complete; Pass","UW18","g5-uw-am-ns.02-07.C","TN412","g5","transect","g5-uw-am-ns","AM",8,NA,"C",2025-02-07 06:00:00,2025-02-07 15:00:00,0,-140,5,0.2,10,NA,NA,""
"G5-100070","armbrust_grc_rnaseq_21",1642345,"Complete; Pass","UW29","g5-uw-am-ns.02-09.A","TN412","g5","transect","g5-uw-am-ns","AM",10,NA,"A",2025-02-09 06:04:00,2025-02-09 15:04:00,-4,-140,5,0.2,10,NA,NA,"8-Feb, S09, no UW but depth profile at 6 AM"
"G5-100071","armbrust_grc_rnaseq_21",1642357,"Complete; Pass","UW30","g5-uw-am-ns.02-09.B","TN412","g5","transect","g5-uw-am-ns","AM",10,NA,"B",2025-02-09 06:04:00,2025-02-09 15:04:00,-4,-140,5,0.2,10,NA,NA,""
"G5-100072","armbrust_grc_rnaseq_21",1642382,"Complete; Pass","UW16","g5-uw-am-ns.02-09.C","TN412","g5","transect","g5-uw-am-ns","AM",10,NA,"C",2025-02-09 06:04:00,2025-02-09 15:04:00,-4,-140,5,0.2,10,NA,NA,""
"G5-100076","armbrust_grc_rnaseq_21",1642335,"Complete; Pass","UW22","g5-uw-am-ns.02-10.A","TN412","g5","transect","g5-uw-am-ns","AM",10,NA,"A",2025-02-10 06:02:00,2025-02-10 15:02:00,-4,-140,5,0.2,10,NA,NA,""
"G5-100077","armbrust_grc_rnaseq_21",1642385,"Complete; Pass","UW8","g5-uw-am-ns.02-10.B","TN412","g5","transect","g5-uw-am-ns","AM",10,NA,"B",2025-02-10 06:02:00,2025-02-10 15:02:00,-4,-140,5,0.2,10,NA,NA,""
"G5-100078","armbrust_grc_rnaseq_21",1642374,"Complete; Pass","UW62","g5-uw-am-ns.02-10.C","TN412","g5","transect","g5-uw-am-ns","AM",10,NA,"C",2025-02-10 06:02:00,2025-02-10 15:02:00,-4,-140,5,0.2,10,NA,NA,""
"G5-100079","armbrust_grc_rnaseq_21",1642365,"Complete; Pass","UW24","g5-uw-am-ns.02-11.A","TN412","g5","transect","g5-uw-am-ns","AM",11,NA,"A",2025-02-11 06:07:00,2025-02-11 15:07:00,-0.36,-140,5,0.2,10,NA,NA,""
"G5-100080","armbrust_grc_rnaseq_21",1642378,"Complete; Pass","UW49","g5-uw-am-ns.02-11.B","TN412","g5","transect","g5-uw-am-ns","AM",11,NA,"B",2025-02-11 06:07:00,2025-02-11 15:07:00,-0.36,-140,5,0.2,10,NA,NA,""
"G5-100081","armbrust_grc_rnaseq_21",1642389,"Complete; Pass","UW58","g5-uw-am-ns.02-11.C","TN412","g5","transect","g5-uw-am-ns","AM",11,NA,"C",2025-02-11 06:07:00,2025-02-11 15:07:00,-0.36,-140,5,0.2,10,NA,NA,""
