"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G5-310001","armbrust_grc_rnaseq_15",1468169,"Complete; Pass","E2-6","g5-inc-ns.S3.stay.Mix1.cont.T0.A","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","A",2025-01-30 07:00:00,2025-01-30 16:00:00,15.98,-140,15,0.2,5,"Control","0 h",""
"G5-310002","armbrust_grc_rnaseq_15",1468159,"Complete; Pass","E1-2","g5-inc-ns.S3.stay.Mix1.cont.T0.B","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","B",2025-01-30 07:00:00,2025-01-30 16:00:00,15.98,-140,15,0.2,5,"Control","0 h",""
"G5-310003","armbrust_grc_rnaseq_15",1468181,"Complete; Pass","E3-6","g5-inc-ns.S3.stay.Mix1.cont.T0.C","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","C",2025-01-30 07:00:00,2025-01-30 16:00:00,15.98,-140,15,0.2,5,"Control","0 h",""
"G5-310004","armbrust_grc_rnaseq_15",1468187,"Complete; Pass","E5-6","g5-inc-ns.S3.stay.Mix1.cont.T2.A","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","A",2025-01-30 09:00:00,2025-01-30 18:00:00,15.98,-140,15,0.2,6,"Control","2 h","filter <20 min"
"G5-310005","armbrust_grc_rnaseq_15",1468174,"Complete; Pass","E4-5","g5-inc-ns.S3.stay.Mix1.cont.T2.B","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","B",2025-01-30 09:00:00,2025-01-30 18:00:00,15.98,-140,15,0.2,6,"Control","2 h","filter <20 min"
"G5-310006","armbrust_grc_rnaseq_15",1468202,"Complete; Pass","E8-3","g5-inc-ns.S3.stay.Mix1.cont.T2.C","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","C",2025-01-30 09:00:00,2025-01-30 18:00:00,15.98,-140,15,0.2,5,"Control","2 h","filter <20 min"
"G5-310007","armbrust_grc_rnaseq_15",1468167,"Complete; Pass","E2-4","g5-inc-ns.S3.stay.Mix1.DON.T2.A","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","A",2025-01-30 08:00:00,2025-01-30 17:00:00,15.98,-140,15,0.2,6,"DON","2 h",""
"G5-310008","armbrust_grc_rnaseq_15",1468162,"Complete; Pass","E1-5","g5-inc-ns.S3.stay.Mix1.DON.T2.B","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","B",2025-01-30 08:00:00,2025-01-30 17:00:00,15.98,-140,15,0.2,6,"DON","2 h",""
"G5-310009","armbrust_grc_rnaseq_15",1468214,"Complete; Pass","E10-3","g5-inc-ns.S3.stay.Mix1.DON.T2.C","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","C",2025-01-30 08:00:00,2025-01-30 17:00:00,15.98,-140,15,0.2,5,"DON","2 h",""
"G5-310010","armbrust_grc_rnaseq_15",1468190,"Complete; Pass","E6-3","g5-inc-ns.S3.stay.Mix1.DOC.T2.A","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","A",2025-01-30 09:00:00,2025-01-30 18:00:00,15.98,-140,15,0.2,6,"DOC","2 h","filter <20 min"
"G5-310011","armbrust_grc_rnaseq_15",1468199,"Complete; Pass","E7-6","g5-inc-ns.S3.stay.Mix1.DOC.T2.B","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","B",2025-01-30 09:00:00,2025-01-30 18:00:00,15.98,-140,15,0.2,6,"DOC","2 h","filter <20 min"
"G5-310012","armbrust_grc_rnaseq_15",1468206,"Complete; Pass","E9-1","g5-inc-ns.S3.stay.Mix1.DOC.T2.C","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","C",2025-01-30 09:00:00,2025-01-30 18:00:00,15.98,-140,15,0.2,5,"DOC","2 h",""
"G5-310013","armbrust_grc_rnaseq_15",1468176,"Complete; Pass","E3-1","g5-inc-ns.S3.stay.Mix1.DIN.T2.A","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","A",2025-01-30 08:00:00,2025-01-30 17:00:00,15.98,-140,15,0.2,6,"DIN","2 h",""
"G5-310014","armbrust_grc_rnaseq_15",1468172,"Complete; Pass","E4-3","g5-inc-ns.S3.stay.Mix1.DIN.T2.B","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","B",2025-01-30 08:00:00,2025-01-30 17:00:00,15.98,-140,15,0.2,6,"DIN","2 h",""
"G5-310015","armbrust_grc_rnaseq_15",1468182,"Complete; Pass","E5-1","g5-inc-ns.S3.stay.Mix1.DIN.T2.C","TN412","g5","Incubation","g5-inc-ns","Mix1","3","stayfish","C",2025-01-30 08:00:00,2025-01-30 17:00:00,15.98,-140,15,0.2,5,"DIN","2 h",""
"G5-310016","armbrust_grc_rnaseq_15",1468216,"Complete; Pass","E10-5","g5-inc-ns.S8.stay.Mix2.cont.T0.A","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","A",2025-02-05 09:15:00,2025-02-05 18:15:00,0,-140,15,0.2,5,"control","0 h",""
"G5-310017","armbrust_grc_rnaseq_15",1468163,"Complete; Pass","E1-6","g5-inc-ns.S8.stay.Mix2.cont.T0.B","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","B",2025-02-05 09:15:00,2025-02-05 18:15:00,0,-140,15,0.2,5,"control","0 h",""
"G5-310018","armbrust_grc_rnaseq_15",1468165,"Complete; Pass","E2-2","g5-inc-ns.S8.stay.Mix2.cont.T0.C","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","C",2025-02-05 09:15:00,2025-02-05 18:15:00,0,-140,15,0.2,5,"control","0 h",""
"G5-310019","armbrust_grc_rnaseq_15",1468173,"Complete; Pass","E4-4","g5-inc-ns.S8.stay.Mix2.cont.T2.A","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","A",2025-02-05 10:15:00,2025-02-05 19:15:00,0,-140,15,0.2,8,"control","2 h","filt < 1/2 h"
"G5-310020","armbrust_grc_rnaseq_15",1468193,"Complete; Pass","E6-6","g5-inc-ns.S8.stay.Mix2.cont.T2.B","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","B",2025-02-05 10:15:00,2025-02-05 19:15:00,0,-140,15,0.2,8,"control","2 h","filt < 1/2 h"
"G5-310021","armbrust_grc_rnaseq_15",1468186,"Complete; Pass","E5-5","g5-inc-ns.S8.stay.Mix2.cont.T2.C","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","C",2025-02-05 10:15:00,2025-02-05 19:15:00,0,-140,15,0.2,8,"control","2 h","filt < 1/2 h"
"G5-310022","armbrust_grc_rnaseq_15",1468170,"Complete; Pass","E4-1","g5-inc-ns.S8.stay.Mix2.DON.T2.A","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","A",2025-02-05 09:15:00,2025-02-05 18:15:00,0,-140,15,0.2,6,"DON","2 h",""
"G5-310023","armbrust_grc_rnaseq_15",1468178,"Complete; Pass","E3-3","g5-inc-ns.S8.stay.Mix2.DON.T2.B","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","B",2025-02-05 09:15:00,2025-02-05 18:15:00,0,-140,15,0.2,6,"DON","2 h",""
"G5-310024","armbrust_grc_rnaseq_15",1468185,"Complete; Pass","E5-4","g5-inc-ns.S8.stay.Mix2.DON.T2.C","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","C",2025-02-05 09:15:00,2025-02-05 18:15:00,0,-140,15,0.2,6,"DON","2 h","filt < 1/2 h"
"G5-310025","armbrust_grc_rnaseq_15",1468166,"Complete; Pass","E2-3","g5-inc-ns.S8.stay.Mix2.DOC.T2.A","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","A",2025-02-05 10:15:00,2025-02-05 19:15:00,0,-140,15,0.2,7,"DOC","2 h","filt < 1/2 h"
"G5-310026","armbrust_grc_rnaseq_15",1468179,"Complete; Pass","E3-4","g5-inc-ns.S8.stay.Mix2.DOC.T2.B","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","B",2025-02-05 10:15:00,2025-02-05 19:15:00,0,-140,15,0.2,7,"DOC","2 h","filt < 1/2 h"
"G5-310027","armbrust_grc_rnaseq_15",1468158,"Complete; Pass","E1-1","g5-inc-ns.S8.stay.Mix2.DOC.T2.C","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","C",2025-02-05 10:15:00,2025-02-05 19:15:00,0,-140,15,0.2,8,"DOC","2 h","filt < 1/2 h"
"G5-310028","armbrust_grc_rnaseq_15",1468209,"Complete; Pass","E9-4","g5-inc-ns.S8.stay.Mix2.DIN.T2.A","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","A",2025-02-05 09:15:00,2025-02-05 18:15:00,0,-140,15,0.2,7,"DIN","2 h","filt < 1/2 h"
"G5-310029","armbrust_grc_rnaseq_15",1468201,"Complete; Pass","E8-2","g5-inc-ns.S8.stay.Mix2.DIN.T2.B","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","B",2025-02-05 09:15:00,2025-02-05 18:15:00,0,-140,15,0.2,8,"DIN","2 h",""
"G5-310030","armbrust_grc_rnaseq_15",1468198,"Complete; Pass","E7-5","g5-inc-ns.S8.stay.Mix2.DIN.T2.C","TN412","g5","Incubation","g5-inc-ns","Mix2","8","stayfish","C",2025-02-05 09:15:00,2025-02-05 18:15:00,0,-140,15,0.2,8,"DIN","2 h","filt < 1/2 h"
"G5-350001","armbrust_grc_rnaseq_15",1468205,"Complete; Pass","E8-6","g5-inc-ns.S4.stay.RR1.cont.T0.A","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","A",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,5,"Control","0 h","filter <20 min"
"G5-350002","armbrust_grc_rnaseq_15",1468210,"Complete; Pass","E9-5","g5-inc-ns.S4.stay.RR1.cont.T0.B","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","B",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,5,"Control","0 h","filter <20 min"
"G5-350004","armbrust_grc_rnaseq_15",1468171,"Complete; Pass","E4-2","g5-inc-ns.S4.stay.RR1.cont.T24.A","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","A",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,5,"Control","24 h",""
"G5-350005","armbrust_grc_rnaseq_15",1468168,"Complete; Pass","E2-5","g5-inc-ns.S4.stay.RR1.cont.T24.B","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","B",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,6,"Control","24 h",""
"G5-350006","armbrust_grc_rnaseq_15",1468180,"Complete; Pass","E3-5","g5-inc-ns.S4.stay.RR1.cont.T24.C","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","C",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,6,"Control","24 h",""
"G5-350007","armbrust_grc_rnaseq_15",1468184,"Complete; Pass","E5-3","g5-inc-ns.S4.stay.RR1.NP.T24.A","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","A",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,5,"NP","24 h",""
"G5-350008","armbrust_grc_rnaseq_15",1468194,"Complete; Pass","E7-1","g5-inc-ns.S4.stay.RR1.NP.T24.B","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","B",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,6,"NP","24 h",""
"G5-350009","armbrust_grc_rnaseq_15",1468191,"Complete; Pass","E6-4","g5-inc-ns.S4.stay.RR1.NP.T24.C","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","C",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,6,"NP","24 h",""
"G5-350010","armbrust_grc_rnaseq_15",1468203,"Complete; Pass","E8-4","g5-inc-ns.S4.stay.RR1.NPSi.T24.A","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","A",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,5,"NPSi","24 h",""
"G5-350011","armbrust_grc_rnaseq_15",1468197,"Complete; Pass","E7-4","g5-inc-ns.S4.stay.RR1.NPSi.T24.B","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","B",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,6,"NPSi","24 h",""
"G5-350012","armbrust_grc_rnaseq_15",1468188,"Complete; Pass","E6-1","g5-inc-ns.S4.stay.RR1.NPSi.T24.C","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","C",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,6,"NPSi","24 h",""
"G5-350013","armbrust_grc_rnaseq_15",1468213,"Complete; Pass","E10-2","g5-inc-ns.S4.stay.RR1.NPSiFe.T24.A","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","A",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,5,"NPSiFe","24 h",""
"G5-350014","armbrust_grc_rnaseq_15",1468211,"Complete; Pass","E9-6","g5-inc-ns.S4.stay.RR1.NPSiFe.T24.B","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","B",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,6,"NPSiFe","24 h",""
"G5-350015","armbrust_grc_rnaseq_15",1468160,"Complete; Pass","E1-3","g5-inc-ns.S4.stay.RR1.NPSiFe.T24.C","TN412","g5","Incubation","g5-inc-ns","RR1","4","stayfish","C",2025-01-31 10:00:00,2025-01-31 19:00:00,12.26,-140,15,0.2,6,"NPSiFe","24 h",""
"G5-350016","armbrust_grc_rnaseq_15",1468195,"Complete; Pass","E7-2","g5-inc-ns.S10.stay.RR2.cont.T0.A","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","A",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,5,"control","0 h",""
"G5-350017","armbrust_grc_rnaseq_15",1468192,"Complete; Pass","E6-5","g5-inc-ns.S10.stay.RR2.cont.T0.B","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","B",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"control","0 h",""
"G5-350018","armbrust_grc_rnaseq_15",1468204,"Complete; Pass","E8-5","g5-inc-ns.S10.stay.RR2.cont.T0.C","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","C",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"control","0 h",""
"G5-350019","armbrust_grc_rnaseq_15",1468215,"Complete; Pass","E10-4","g5-inc-ns.S10.stay.RR2.cont.T24.A","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","A",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"control","24 h",""
"G5-350020","armbrust_grc_rnaseq_15",1468161,"Complete; Pass","E1-4","g5-inc-ns.S10.stay.RR2.cont.T24.B","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","B",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"control","24 h",""
"G5-350021","armbrust_grc_rnaseq_15",1468208,"Complete; Pass","E9-3","g5-inc-ns.S10.stay.RR2.cont.T24.C","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","C",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"control","24 h","filt < 1/2 h"
"G5-350022","armbrust_grc_rnaseq_15",1468212,"Complete; Pass","E10-1","g5-inc-ns.S10.stay.RR2.Fe.T24.A","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","A",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"Fe","24 h",""
"G5-350023","armbrust_grc_rnaseq_15",1468207,"Complete; Pass","E9-2","g5-inc-ns.S10.stay.RR2.Fe.T24.B","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","B",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"Fe","24 h",""
"G5-350024","armbrust_grc_rnaseq_15",1468200,"Complete; Pass","E8-1","g5-inc-ns.S10.stay.RR2.Fe.T24.C","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","C",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"Fe","24 h","filt < 1/2 h"
"G5-350025","armbrust_grc_rnaseq_15",1468175,"Complete; Pass","E4-6","g5-inc-ns.S10.stay.RR2.NPSi.T24.A","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","A",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"NPSi","24 h",""
"G5-350026","armbrust_grc_rnaseq_15",1468177,"Complete; Pass","E3-2","g5-inc-ns.S10.stay.RR2.NPSi.T24.B","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","B",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"NPSi","24 h",""
"G5-350027","armbrust_grc_rnaseq_15",1468164,"Complete; Pass","E2-1","g5-inc-ns.S10.stay.RR2.NPSi.T24.C","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","C",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"NPSi","24 h","filt < 1/2 h"
"G5-350028","armbrust_grc_rnaseq_15",1468189,"Complete; Pass","E6-2","g5-inc-ns.S10.stay.RR2.NPSiFe.T24.A","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","A",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"NPSiFe","24 h",""
"G5-350029","armbrust_grc_rnaseq_15",1468183,"Complete; Pass","E5-2","g5-inc-ns.S10.stay.RR2.NPSiFe.T24.B","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","B",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"NPSiFe","24 h",""
"G5-350030","armbrust_grc_rnaseq_15",1468196,"Complete; Pass","E7-3","g5-inc-ns.S10.stay.RR2.NPSiFe.T24.C","TN412","g5","Incubation","g5-inc-ns","RR2","10","stayfish","C",2025-02-09 08:30:00,2025-02-09 17:30:00,-4,-140,15,0.2,6,"NPSiFe","24 h",""
