"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"UW33 C","armbrust_grc_rnaseq_12",1292002,NA,"UW77","g3-uw-pm-pa.04-26.0.2um.C","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"C",2019-04-26 18:35:00,2019-04-27 04:35:00,33.51,-158,7,0.2,10,NA,NA,""
"UW36 C","armbrust_grc_rnaseq_12",1291992,NA,"UW78","g3-uw-pm-pa.04-14.0.2um.C","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"C",2019-04-14 18:23:00,2019-04-15 04:23:00,36.95,-158,7,0.2,10,NA,NA,""
"UW24 A","armbrust_grc_rnaseq_12",1291970,NA,"UW79","g3-uw-pm-pa.04-10.3um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-10 18:34:00,2019-04-11 04:34:00,24.23,-158,7,3,9,NA,NA,""
"UW34 C","armbrust_grc_rnaseq_12",1292006,NA,"UW81","g3-uw-pm-pa.04-13.0.2um.C","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"C",2019-04-13 18:42:00,2019-04-14 04:42:00,34.26,-158,7,0.2,8.5,NA,NA,""
"UW38 #2 A","armbrust_grc_rnaseq_12",1291985,NA,"UW83","g3-uw-pm-pa.04-23.3um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-23 18:25:00,2019-04-24 04:25:00,38.74,-158,7,3,10,NA,NA,""
"UW37 A","armbrust_grc_rnaseq_12",1292003,NA,"UW84","g3-uw-pm-pa.04-19.3um.A","km1906","G3","transect","G3-uw-pm-pa","PM","5",NA,"A",2019-04-19 18:47:00,2019-04-20 04:47:00,37,-158,7,3,10,NA,NA,"underway while on station 5"
"UW38 #2 B","armbrust_grc_rnaseq_12",1291984,NA,"UW85","g3-uw-pm-pa.04-23.3um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-23 18:25:00,2019-04-24 04:25:00,38.74,-158,7,3,6.25,NA,NA,""
"UW42 A","armbrust_grc_rnaseq_12",1292001,NA,"UW86","g3-uw-pm-pa.04-24.0.2um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-24 18:36:00,2019-04-25 04:36:00,42.18,-158,7,0.2,9,NA,NA,""
"UW37 #2 B","armbrust_grc_rnaseq_12",1291982,NA,"UW87","g3-uw-pm-pa.04-25.3um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-25 18:34:00,2019-04-26 04:34:00,37.81,-158,7,3,6.5,NA,NA,""
"UW32 #2 A","armbrust_grc_rnaseq_12",1291963,NA,"UW90","g3-uw-pm-pa.04-21.0.2um.A","km1906","G3","transect","G3-uw-pm-pa","PM","6",NA,"A",2019-04-21 18:22:00,2019-04-22 04:22:00,32.93,-158,7,0.2,10.5,NA,NA,""
"UW38 #2 C","armbrust_grc_rnaseq_12",1291994,NA,"UW91","g3-uw-pm-pa.04-23.0.2um.C","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"C",2019-04-23 18:25:00,2019-04-24 04:25:00,38.74,-158,7,0.2,10,NA,NA,""
"UW38 #2 A","armbrust_grc_rnaseq_12",1291998,NA,"UW93","g3-uw-pm-pa.04-23.0.2um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-23 18:25:00,2019-04-24 04:25:00,38.74,-158,7,0.2,10,NA,NA,""
"UW36 A","armbrust_grc_rnaseq_12",1291988,NA,"UW94","g3-uw-pm-pa.04-14.0.2um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-14 18:23:00,2019-04-15 04:23:00,36.95,-158,7,0.2,10,NA,NA,""
"UW32 #2 C","armbrust_grc_rnaseq_12",1291973,NA,"UW95","g3-uw-pm-pa.04-21.3um.C","km1906","G3","transect","G3-uw-pm-pa","PM","6",NA,"C",2019-04-21 18:22:00,2019-04-22 04:22:00,32.93,-158,7,3,10,NA,NA,""
"UW42 B","armbrust_grc_rnaseq_12",1291957,NA,"UW96","g3-uw-pm-pa.04-24.3um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-24 18:36:00,2019-04-25 04:36:00,42.18,-158,7,3,9,NA,NA,""
"UW34 A","armbrust_grc_rnaseq_12",1291962,NA,"UW97","g3-uw-pm-pa.04-13.0.2um.A","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"A",2019-04-13 18:42:00,2019-04-14 04:42:00,34.26,-158,7,0.2,10,NA,NA,""
"UW32 #2 C","armbrust_grc_rnaseq_12",1291987,NA,"UW98","g3-uw-pm-pa.04-21.0.2um.C","km1906","G3","transect","G3-uw-pm-pa","PM","6",NA,"C",2019-04-21 18:22:00,2019-04-22 04:22:00,32.93,-158,7,0.2,10,NA,NA,""
"UW36 B","armbrust_grc_rnaseq_12",1291969,NA,"UW99","g3-uw-pm-pa.04-14.3um.B","km1906","G3","transect","G3-uw-pm-pa","PM","UW",NA,"B",2019-04-14 18:23:00,2019-04-15 04:23:00,36.95,-158,7,3,10,NA,NA,""
