"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"UW31 #2 C 3um","armbrust_grc_rnaseq_7",442898,"","UW1","g3-uw-am-pa.04-27.3um.C","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"C",2019-04-27 05:53:00,2019-04-27 15:53:00,31.43,-158,7,3,8.5,NA,NA,"metadata_added_02_08_2024"
"UW32 C 3um","armbrust_grc_rnaseq_7",442906,"","UW10","g3-uw-am-pa.04-13.3um.C","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"C",2019-04-13 05:47:00,2019-04-13 15:47:00,32.3,-158,7,3,7,NA,NA,"metadata_added_02_08_2024"
"UW38 A 0.2um","armbrust_grc_rnaseq_7",442907,"","UW11","g3-uw-am-pa.04-15.0.2um.A","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"A",2019-04-15 05:37:00,2019-04-15 15:37:00,38.97,-158,7,0.2,10,NA,NA,""
"UW40 #2 A 0.2um","armbrust_grc_rnaseq_7",442908,"","UW12","g3-uw-am-pa.04-25.0.2um.A","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"A",2019-04-25 06:01:00,2019-04-25 16:01:00,40.09,-158,7,0.2,9.5,NA,NA,""
"UW32 A 0.2um","armbrust_grc_rnaseq_7",442909,"","UW13","g3-uw-am-pa.04-13.0.2um.A","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"A",2019-04-13 05:47:00,2019-04-13 15:47:00,32.3,-158,7,0.2,10,NA,NA,""
"UW40 A 0.2um","armbrust_grc_rnaseq_7",442910,"","UW14","g3-uw-am-pa.04-24.0.2um.A","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"A",2019-04-24 05:57:00,2019-04-24 15:57:00,40.88,-158,7,0.2,10,NA,NA,""
"UW40 #2 C 3um","armbrust_grc_rnaseq_7",442911,"","UW16","g3-uw-am-pa.04-25.3um.C","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"C",2019-04-25 06:01:00,2019-04-25 16:01:00,40.09,-158,7,3,8.5,NA,NA,""
"UW37 A 0.2um","armbrust_grc_rnaseq_7",442912,"","UW17","g3-uw-am-pa.04-19.0.2um.A","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"A",2019-04-19 18:47:00,2019-04-20 04:47:00,37,-158,7,0.2,10,NA,NA,""
"UW38 B 0.2um","armbrust_grc_rnaseq_7",442913,"","UW18","g3-uw-am-pa.04-15.0.2um.B","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"B",2019-04-15 05:37:00,2019-04-15 15:37:00,38.97,-158,7,0.2,9.5,NA,NA,""
"UW32 C 0.2um","armbrust_grc_rnaseq_7",442914,"","UW19","g3-uw-am-pa.04-13.0.2um.C","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"C",2019-04-13 05:47:00,2019-04-13 15:47:00,32.3,-158,7,0.2,7,NA,NA,""
"UW31 #2 C 0.2um","armbrust_grc_rnaseq_7",442899,"","UW2","g3-uw-am-pa.04-27.0.2um.C","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"C",2019-04-27 05:53:00,2019-04-27 15:53:00,31.43,-158,7,0.2,8.5,NA,NA,"metadata_added_02_08_2024"
"UW31 #2 B 3um","armbrust_grc_rnaseq_7",442915,"","UW20","g3-uw-am-pa.04-27.3um.B","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"B",2019-04-27 05:53:00,2019-04-27 15:53:00,31.43,-158,7,3,9.25,NA,NA,"metadata_added_02_08_2024"
"UW29 C 0.2um","armbrust_grc_rnaseq_7",442916,"","UW21","g3-uw-am-pa.04-12.0.2um.C","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"C",2019-04-12 05:50:00,2019-04-12 15:50:00,29.46,-158,7,0.2,7,NA,NA,"metadata_added_02_08_2024"
"UW40 #2 B 3um","armbrust_grc_rnaseq_7",442917,"","UW22","g3-uw-am-pa.04-25.3um.B","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"B",2019-04-25 06:01:00,2019-04-25 16:01:00,40.09,-158,7,3,8.5,NA,NA,""
"UW38 B 3um","armbrust_grc_rnaseq_7",442918,"","UW23","g3-uw-am-pa.04-15.3um.B","km1906","G3","transect","G3-uw-am-pa","AM","UW",NA,"B",2019-04-15 05:37:00,2019-04-15 15:37:00,38.97,-158,7,3,9.5,NA,NA,""
