"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"G2.REXP3.ns.Ctrl.T96.0_2um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367084,"Seq data released","MS67","g2-inc-ns.S16.rexp3.Ctrl.T72.0.2um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"B",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,0.2,7.5,"rexp3.Ctrl","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
"G2.REXP3.ns.LoNP.T96.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367085,"Seq data released","MS68","g2-inc-ns.S16.rexp3.LoNP.T72.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"B",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,3,7,"rexp3.LoNP","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
"G2.REXP3.ns.LoNP.T96.0_2um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367086,"Seq data released","MS69","g2-inc-ns.S16.rexp3.LoNP.T72.0.2um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"C",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,0.2,8,"rexp3.LoNP","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
"G2.REXP2.ns.NP.T96.0_2um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367087,"Seq data released","MS70","g2-inc-ns.S11.rexp2.NP.T72.0.2um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"A",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,0.2,8.5,"rexp2.NP","T72","Resource ratio incubation"
"G2.REXP2.ns.Ctrl.T0.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367088,"Seq data released","MS75","g2-inc-ns.S11.rexp2.Ctrl.T0.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"B",2017-06-06 10:40:00,2017-06-06 20:40:00,36.9,-158,15,3,7,"rexp2.Ctrl","T0","Resource ratio incubation"
"G2.REXP2.ns.NP.T96.3um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367089,"Seq data released","MS76","g2-inc-ns.S11.rexp2.NP.T72.3um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"C",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,3,6.5,"rexp2.NP","T72","Resource ratio incubation"
"G2.REXP2.ns.NP.T96.0_2um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367091,"Seq data released","MS78","g2-inc-ns.S11.rexp2.NP.T72.0.2um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"C",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,0.2,6.5,"rexp2.NP","T72","Resource ratio incubation"
"G2.REXP1.ns.NPFe.T96.0_2um.C","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367093,"Seq data released","MS80","g2-inc-ns.S7.rexp1.NPFe.T96.0.2um.C","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"C",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,0.2,7,"rexp1.NPFe","T96","Resource ratio incubation"
"G2.REXP1.ns.HFe.T96.3um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367094,"Seq data released","MS83","g2-inc-ns.S7.rexp1.HFe.T96.3um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"A",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,3,7,"rexp1.HFe","T96","Resource ratio incubation"
"G2.REXP2.ns.Ctrl.T96.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367095,"Seq data released","MS84","g2-inc-ns.S11.rexp2.Ctrl.T72.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"B",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,3,8,"rexp2.Ctrl","T72","Resource ratio incubation"
"G2.REXP1.ns.NPFe.T96.3um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367096,"Seq data released","MS85","g2-inc-ns.S7.rexp1.NPFe.T96.3um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"B",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,3,7,"rexp1.NPFe","T96","Resource ratio incubation"
"G2.REXP2.ns.NP.T96.0_2um.B","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367097,"Seq data released","MS87","g2-inc-ns.S11.rexp2.NP.T72.0.2um.B","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"B",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,0.2,7,"rexp2.NP","T72","Resource ratio incubation"
"G2.REXP1.ns.NPFe.T96.3um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367098,"Seq data released","MS94","g2-inc-ns.S7.rexp1.NPFe.T96.3um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"A",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,3,7,"rexp1.NPFe","T96","Resource ratio incubation"
"G2.REXP1.ns.NPFe.T96.0_2um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367099,"Seq data released","MS95","g2-inc-ns.S7.rexp1.NPFe.T96.0.2um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"A",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,0.2,7,"rexp1.NPFe","T96","Resource ratio incubation"
"G2.REXP3.ns.HiNP.T96.3um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367100,"Seq data released","MS97","g2-inc-ns.S16.rexp3.HiNP.T72.3um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",16,NA,"A",2017-06-12 12:00:00,2017-06-12 22:00:00,32.9,-158,15,3,7,"rexp3.HiNP","T72","Resource ratio incubation. T0 is S16 - 2017-06-09 16:02:00 local time"
"G2.REXP2.ns.Ctrl.T96.3um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367101,"Seq data released","MS98","g2-inc-ns.S11.rexp2.Ctrl.T72.3um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",11,NA,"A",2017-06-09 10:00:00,2017-06-09 20:00:00,36.9,-158,15,3,7.5,"rexp2.Ctrl","T72","Resource ratio incubation"
"G2.REXP1.ns.LFe.T96.0_2um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367102,"Seq data released","MS99","g2-inc-ns.S7.rexp1.LFe.T96.0.2um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"A",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,0.2,7,"rexp1.LFe","T96","Resource ratio incubation"
"G2.REXP1.ns.LFe.T96.3um.A","G2NS.DCM_and_resource_ratios-lookup_armbrust_grc_rnaseq_2",367042,"Seq data released","REXP1LFeA","g2-inc-ns.S7.rexp1.LFe.T96.3um.A","mgl1704","G2","RRexp","G2-inc-ns","inc",7,NA,"A",2017-06-07 15:00:00,2017-06-08 01:00:00,41.4,-158,15,3,7,"rexp1.LFe","T96","Resource ratio incubation"
