"ID","LookupID","sequencingID","Status","extractionID","SampleID","Cruise","Gradients","Type","project","Dataset","Station","Cast","Replicate","Datetime.local","Datetime.utc","Latitude.dec","Longitude.dec","Depth.m","Filter.um","Volume.L","Treatment","Incubation.time","Notes"
"S8C2 DCM B","armbrust_grc_rnaseq_9",642974,"Seq data available","DP1","G3-ctd-ns.S8.C2.DCM.B","km1906","G3","CTD","G3-ctd-ns","DCM",8,2,"B","2019-04-24 14:42:00","2019-04-25 00:42:00",42.33,-158,41,0.2,7.5,NA,NA,NA
"S4C6 B 15m","armbrust_grc_rnaseq_9",642983,"Seq data available","DP10","G3-ctd-ns.S4.C6.15m.B","km1906","G3","CTD","G3-ctd-ns","15m",4,6,"B","2019-04-16 08:11:00","2019-04-16 18:11:00",41.67,-158.05,15,0.2,7,NA,NA,NA
"S6C7 75m A","armbrust_grc_rnaseq_9",642984,"Seq data available","DP11","G3-ctd-ns.S6.C7.75m.A","km1906","G3","CTD","G3-ctd-ns","75m",6,7,"A","2019-04-22 06:40:00","2019-04-22 16:40:00",32.92,-158,75,0.2,7.25,NA,NA,NA
"S4C6 B DCM","armbrust_grc_rnaseq_9",642985,"Seq data available","DP13","G3-ctd-ns.S4.C6.DCM.B","km1906","G3","CTD","G3-ctd-ns","DCM",4,6,"B","2019-04-16 08:03:00","2019-04-16 18:03:00",41.67,-158.05,50,0.2,6,NA,NA,NA
"S5C6 125m B","armbrust_grc_rnaseq_9",642986,"Seq data available","DP14","G3-ctd-ns.S5.C8.125m.B","km1906","G3","CTD","G3-ctd-ns","125m",5,8,"B","2019-04-20 07:56:00","2019-04-20 17:56:00",37,-158,125,0.2,7,NA,NA,NA
"S8C2 75m A","armbrust_grc_rnaseq_9",642987,"Seq data available","DP15","G3-ctd-ns.S8.C2.75m.A","km1906","G3","CTD","G3-ctd-ns","75m",8,2,"A","2019-04-24 14:39:00","2019-04-25 00:39:00",42.33,-158,75,0.2,6.25,NA,NA,NA
"S8C2 DCM A","armbrust_grc_rnaseq_9",642988,"Seq data available","DP16","G3-ctd-ns.S8.C2.DCM.A","km1906","G3","CTD","G3-ctd-ns","DCM",8,2,"A","2019-04-24 14:42:00","2019-04-25 00:42:00",42.33,-158,41,0.2,7.25,NA,NA,NA
"S8C2 15m A","armbrust_grc_rnaseq_9",642989,"Seq data available","DP17","G3-ctd-ns.S8.C2.15m.A","km1906","G3","CTD","G3-ctd-ns","15m",8,2,"A","2019-04-24 14:47:00","2019-04-25 00:47:00",42.33,-158,15,0.2,7,NA,NA,NA
"S4C6 A 15m","armbrust_grc_rnaseq_9",642990,"Seq data available","DP18","G3-ctd-ns.S4.C6.15m.A","km1906","G3","CTD","G3-ctd-ns","15m",4,6,"A","2019-04-16 08:11:00","2019-04-16 18:11:00",41.67,-158.05,15,0.2,7,NA,NA,NA
"S8C2 15m B","armbrust_grc_rnaseq_9",642991,"Seq data available","DP19","G3-ctd-ns.S8.C2.15m.B","km1906","G3","CTD","G3-ctd-ns","15m",8,2,"B","2019-04-24 14:47:00","2019-04-25 00:47:00",42.33,-158,15,0.2,7.75,NA,NA,NA
"S5C6 15m B","armbrust_grc_rnaseq_9",642975,"Seq data available","DP2","G3-ctd-ns.S5.C8.15m.B","km1906","G3","CTD","G3-ctd-ns","15m",5,8,"B","2019-04-20 08:05:00","2019-04-20 18:05:00",37,-158,15,0.2,6.75,NA,NA,NA
"S4C6 A DCM","armbrust_grc_rnaseq_9",642992,"Seq data available","DP20","G3-ctd-ns.S4.C6.DCM.A","km1906","G3","CTD","G3-ctd-ns","DCM",4,6,"A","2019-04-16 08:03:00","2019-04-16 18:03:00",41.67,-158.05,50,0.2,4.5,NA,NA,NA
"S5C6 15m A","armbrust_grc_rnaseq_9",642993,"Seq data available","DP21","G3-ctd-ns.S5.C8.15m.A","km1906","G3","CTD","G3-ctd-ns","15m",5,8,"A","2019-04-20 08:05:00","2019-04-20 18:05:00",37,-158,15,0.2,8,NA,NA,NA
"S5C6 DCM B","armbrust_grc_rnaseq_9",642994,"Seq data available","DP23","G3-ctd-ns.S5.C8.DCM.B","km1906","G3","CTD","G3-ctd-ns","DCM",5,8,"B","2019-04-20 08:00:00","2019-04-20 18:00:00",37,-158,55,0.2,7,NA,NA,NA
"S5C6 DCM A","armbrust_grc_rnaseq_9",642995,"Seq data available","DP24","G3-ctd-ns.S5.C8.DCM.A","km1906","G3","CTD","G3-ctd-ns","DCM",5,8,"A","2019-04-20 08:00:00","2019-04-20 18:00:00",37,-158,55,0.2,8,NA,NA,NA
"S8C2 75m B","armbrust_grc_rnaseq_9",642996,"Seq data available","DP25","G3-ctd-ns.S8.C2.75m.B","km1906","G3","CTD","G3-ctd-ns","75m",8,2,"B","2019-04-24 14:39:00","2019-04-25 00:39:00",42.33,-158,75,0.2,8,NA,NA,NA
