"","sample_name","sample_id","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","PA_added","NS_added","volume","flag","MEAN","ratio","xFactor","NORM_FACTOR"
"43","MS37.sam","MS37",42269,9053,148350,164488,418887,325916,361779,231239,66,57,231,197,444,381,5230198630,13580968026,7,"",222990.666666667,4.26352195091808e-05,23454.7871809284,3350.68388298976
"44","MS38.sam","MS38",22522,4618,104352,113897,263640,222981,242091,154491,73,17,85,114,200,162,5230198630,13580968026,7,"",147215.5,2.81472101567202e-05,35527.4996858347,5075.35709797639
"45","MS41.sam","MS41",8922,1706,31548,37883,85131,68464,74814,47788,18,6,28,34,31,44,5230198630,13580968026,8,"",46036.8333333333,8.80211949681409e-06,113609.000691475,14201.1250864344
"46","MS42.sam","MS42",45467,9557,160044,167280,394022,325687,344450,225902,71,35,150,158,301,252,5230198630,13580968026,7,"",215027.833333333,4.11127470570527e-05,24323.3564182001,3474.76520260002
"47","MS43.sam","MS43",16413,3305,50547,59075,144847,113474,127499,83060,18,10,58,59,88,94,5230198630,13580968026,7,"",78151.3333333333,1.49423260686628e-05,66923.9846195842,9560.56923136917
"48","MS44.sam","MS44",16867,3424,86919,102912,252358,207789,239908,149002,64,12,89,73,184,136,5230198630,13580968026,7,"",141522.166666667,2.70586600392014e-05,36956.7450328747,5279.53500469639
"49","MS47.sam","MS47",10028,1983,40033,49755,115481,90299,101726,62239,30,18,55,54,110,83,5230198630,13580968026,7,"",61632.1666666667,1.1783905550575e-05,84861.5084114626,12123.0726302089
"50","MS48.sam","MS48",17578,3531,76508,97631,217715,164199,185187,111348,81,40,163,128,298,277,5230198630,13580968026,8,"",113095,2.16234617460408e-05,46246.0641938194,5780.75802422742
"51","MS49.sam","MS49",15013,3089,55898,69529,153225,119576,129153,81232,44,8,47,48,123,110,5230198630,13580968026,7,"",80539.6666666667,1.53989690190154e-05,64939.4124220364,9277.05891743376
"52","MS50.sam","MS50",6557,1330,24786,29180,66662,54688,55386,32816,19,3,22,33,44,62,5230198630,13580968026,5,"",34929,6.67833144990901e-06,149738.000801626,29947.6001603252
"53","MS51.sam","MS51",16343,3153,45416,52322,128544,96787,108551,70297,27,15,70,61,102,99,5230198630,13580968026,7,"",67370.1666666667,1.28809958153858e-05,77633.749310402,11090.5356157717
"54","MS52.sam","MS52",31738,6585,165400,182421,420269,352105,394034,250711,97,20,90,110,195,134,5230198630,13580968026,7,"",236206,4.5161955923651e-05,22142.530799387,3163.21868562671
"55","MS57.sam","MS57",17045,3479,64440,74798,169029,138101,151478,100067,35,18,86,55,139,112,5230198630,13580968026,7,"",93121.3333333333,1.78045500603355e-05,56165.4181999112,8023.63117141589
"56","MS58.sam","MS58",14057,2423,53256,66047,157008,122017,135973,83135,88,31,175,150,412,364,5230198630,13580968026,7,"",83042,1.58774084646953e-05,62982.5706269117,8997.51008955881
"57","MS59.sam","MS59",37765,10164,161973,175284,443864,342661,390683,250247,34,23,133,132,357,297,5230198630,13580968026,6,"",237918.666666667,4.54894132131014e-05,21983.136940355,3663.85615672583
"58","MS60.sam","MS60",32925,6534,77409,100596,239213,168810,193181,125984,43,35,89,97,153,153,5230198630,13580968026,7,"",121211,2.31752192554874e-05,43149.5378307249,6164.21969010356
"59","MS61.sam","MS61",31582,6894,168760,197114,454762,374059,431287,269894,65,46,167,209,395,368,5230198630,13580968026,7,"",255018.833333333,4.87589193784278e-05,20509.068140719,2929.86687724557
"60","MS62.sam","MS62",18280,3496,60029,70919,176849,137272,156908,99799,25,14,95,82,161,140,5230198630,13580968026,7,"",95144.5,1.81913741199538e-05,54971.1084718507,7853.01549597867
"61","MS65.sam","MS65",9106,1899,35340,43143,96232,76560,85169,54060,18,9,66,58,113,91,5230198630,13580968026,8.5,"",52008,9.94379060513807e-06,100565.271304415,11831.2083887547
"62","MS66.sam","MS66",16392,3132,50078,66607,140816,106764,110492,67585,63,29,120,113,222,202,5230198630,13580968026,8,"",70958.1666666667,1.35670118262156e-05,73708.198445563,9213.52480569538
"63","MS67.sam","MS67",53350,11697,285002,299739,612769,519730,573896,387431,158,58,287,345,711,573,5230198630,13580968026,7.5,"",349007,6.67292056554265e-05,14985.9419152051,1998.12558869402
