"","sample_name","sample_name_short","BPDExtraSmall1","BPDExtraSmall2","BPDSmall1","BPDSmall2","BPDMedium1","BPDMedium2","BPDLarge1","BPDLarge2","SmallStandard1","SmallStandard2","MediumStandard1","MediumStandard2","LargeStandard1","LargeStandard2","BPD_standards_added","BMS_prok_standards_added","volume_filtered","MEAN","ratio","xFactor","NORM_FACTOR"
"33","S06C1_3umC_L1","S06C1_3umC_",2362,1680,37317,35222,464148,423627,571290,1095941,1960,4782,81886,63027,389406,432915,5230198630,13580968026,10,241808.5,1.78049531916334e-05,56164.1465291749,5616.4146529175
"34","S06C1_3umC_L2","S06C1_3umC_",2405,1717,37146,35980,469210,428352,576555,1109233,1884,4964,82701,63324,393292,436386,5230198630,13580968026,10,243925.75,1.79608515043271e-05,55676.6476110046,5567.66476110046
"35","S08C1_0_2umA_L1","S08C1_0_2umA_",2136,1264,25260,28220,301140,296656,468787,881142,1411,2867,52868,39873,312764,257481,5230198630,13580968026,10,165746.5,1.22043214948071e-05,81938.1888968998,8193.81888968998
"36","S08C1_0_2umA_L2","S08C1_0_2umA_",2108,1301,25023,28523,305814,301517,475777,892754,1372,2812,53662,40924,316495,261465,5230198630,13580968026,10,168136.5,1.238030305926e-05,80773.4669509595,8077.34669509595
"37","S08C1_0_2umB_L1","S08C1_0_2umB_",1064,259,11754,17337,160772,152919,315732,429676,3302,3214,42660,22593,236604,195058,5230198630,13580968026,10,124228.75,9.1472676882952e-06,109322.262568045,10932.2262568045
"38","S08C1_0_2umB_L2","S08C1_0_2umB_",1099,268,12055,17058,161386,154170,320246,434283,3283,3143,43307,22312,238779,197332,5230198630,13580968026,10,125432.5,9.23590275449191e-06,108273.119215514,10827.3119215514
"39","S08C1_0_2umC_L1","S08C1_0_2umC_",1455,960,20461,24081,266906,257139,428924,747583,1504,2537,45009,32008,279497,236460,5230198630,13580968026,10,148243.5,1.09155326568913e-05,91612.5700351111,9161.25700351111
"40","S08C1_0_2umC_L2","S08C1_0_2umC_",1346,801,20551,24467,270501,260074,431996,756576,1685,2594,46356,32240,281134,238065,5230198630,13580968026,10,149448.75,1.10042781717687e-05,90873.747863398,9087.3747863398
"41","S08C1_3umA_L1","S08C1_3umA_",1796,1203,24725,28872,332607,305187,537206,979976,2137,3631,58410,41654,387028,308037,5230198630,13580968026,10,198782.25,1.46368248286457e-05,68320.8285749859,6832.0828574986
"42","S08C1_3umA_L2","S08C1_3umA_",1788,1196,24850,29329,335266,308580,542951,993123,2126,3479,59591,42115,390303,311979,5230198630,13580968026,10,200997,1.47999023055796e-05,67568.0135822923,6756.80135822923
"43","S08C1_3umB_L1","S08C1_3umB_",1556,978,24234,27527,304173,281572,451614,811069,1489,2892,49305,35738,287723,250676,5230198630,13580968026,10,155860.5,1.14763910570744e-05,87135.4065077425,8713.54065077425
"44","S08C1_3umB_L2","S08C1_3umB_",1482,946,24121,27969,306564,285125,458394,821298,1483,2779,50335,35877,289824,253760,5230198630,13580968026,10,157449,1.15933562098499e-05,86256.2990301621,8625.62990301622
"45","S08C1_3umC_L1","S08C1_3umC_",1983,1108,23654,26789,289405,269031,431683,784293,1782,3266,58538,41431,317758,278039,5230198630,13580968026,10,173941.5,1.28077394532554e-05,78077.7906710015,7807.77906710014
"46","S08C1_3umC_L2","S08C1_3umC_",1826,1168,23858,26910,292956,270822,434880,790503,1864,3322,58862,41482,319844,279383,5230198630,13580968026,10,174892.75,1.28777823248812e-05,77653.1218475323,7765.31218475323
"47","S09C1_0_2umA_L1","S09C1_0_2umA_",3227,2305,46791,52348,570623,570908,974133,1762299,2187,4008,72880,69402,599364,420217,5230198630,13580968026,10,290465.75,2.13877059016647e-05,46755.8327479229,4675.5832747923
"48","S09C1_0_2umA_L2","S09C1_0_2umA_",3104,2429,47617,52545,575638,577269,986738,1783787,2122,4166,73320,70137,605401,424217,5230198630,13580968026,10,293268.75,2.15940976695147e-05,46308.9504967713,4630.89504967713
"49","S09C1_0_2umB_L1","S09C1_0_2umB_",2038,1542,43597,44765,525584,529486,740499,1397652,1513,2972,59292,58569,474686,402607,5230198630,13580968026,10,248788.5,1.83189077187803e-05,54588.4075268752,5458.84075268752
"50","S09C1_0_2umB_L2","S09C1_0_2umB_",2098,1606,44557,45379,533837,537688,753532,1417284,1555,3109,59553,59728,481530,407179,5230198630,13580968026,10,251997.5,1.85551942628511e-05,53893.2649173107,5389.32649173107
"51","S09C1_0_2umC_L1","S09C1_0_2umC_",3366,2111,43383,49658,564703,591718,877621,1719410,2591,5068,87914,71369,534872,456183,5230198630,13580968026,10,287584.5,2.11755523943091e-05,47224.2698267813,4722.42698267813
"52","S09C1_0_2umC_L2","S09C1_0_2umC_",3288,2011,43757,49975,572688,600674,888206,1738522,2407,5069,89684,72392,541655,462869,5230198630,13580968026,10,291650,2.14749051350134e-05,46565.9798594205,4656.59798594205
"53","S09C1_3umA_L1","S09C1_3umA_",4163,3557,73098,60451,855795,753147,1017595,2586304,2185,5715,78632,91232,525539,533481,5230198630,13580968026,10,307221,2.26214360722919e-05,44205.8584081166,4420.58584081166
"54","S09C1_3umA_L2","S09C1_3umA_",4282,3409,73781,60904,866992,764728,1032833,2620996,2284,5530,79491,92777,532339,540833,5230198630,13580968026,10,311360,2.29262007983465e-05,43618.216938592,4361.8216938592
"55","S09C1_3umB_L1","S09C1_3umB_",3294,2557,50404,45175,677004,582186,809357,1876691,2289,4648,88790,76091,492910,480784,5230198630,13580968026,10,284643.75,2.09590177559557e-05,47712.1595889599,4771.21595889599
"56","S09C1_3umB_L2","S09C1_3umB_",3321,2604,50293,45965,684255,589655,817089,1897552,2477,4727,89479,76174,498301,486786,5230198630,13580968026,10,287685,2.11829524559106e-05,47207.772480317,4720.7772480317
"57","S09C1_3umC_L1","S09C1_3umC_",3830,3323,62130,57950,788895,674936,1099553,2317129,2723,5937,106010,100983,666074,598877,5230198630,13580968026,10,367986,2.70957121241661e-05,36906.2084590175,3690.62084590175
"58","S09C1_3umC_L2","S09C1_3umC_",3915,3342,62693,58895,796782,684535,1114174,2342309,2767,5830,107616,101830,673493,606199,5230198630,13580968026,10,372284.5,2.74122212265931e-05,36480.0791491453,3648.00791491453
"59","S10_0_2umA_L1","S10_0_2umA_",1775,1233,22691,23758,280120,280184,548594,1014122,1890,2640,41443,29028,326369,198326,5230198630,13580968026,5.75,148791.5,1.09558832415441e-05,91275.1603821455,15873.9409360253
"60","S10_0_2umA_L2","S10_0_2umA_",1803,1319,22719,23956,284912,283287,552621,1021021,1868,2540,41912,29737,329661,200628,5230198630,13580968026,5.75,150484.5,1.10805429857361e-05,90248.2848798381,15695.3538921458
"61","S10_0_2umB_L1","S10_0_2umB_",1237,1270,22390,22876,277222,293241,559653,973630,1883,3766,45921,30019,363933,255772,5230198630,13580968026,5.75,173911.25,1.28055120715296e-05,78091.3714667683,13581.1080811771
"62","S10_0_2umB_L2","S10_0_2umB_",1209,1262,22864,22985,281896,297925,565158,983021,1960,3826,46424,30057,368953,258264,5230198630,13580968026,5.75,175924.5,1.29537526090336e-05,77197.7071186788,13425.6881945528
"63","S11C1_0_2umB_L1","S11C1_0_2umB_",2509,1827,35409,41327,479691,459021,737325,1322706,2123,3641,72406,59498,499288,424040,5230198630,13580968026,7,263808,1.9424830357818e-05,51480.5010689592,7354.35729556561
"64","S11C1_0_2umB_L2","S11C1_0_2umB_",2471,1877,35995,41702,485498,466258,748359,1342461,2121,3627,74141,60343,504832,428885,5230198630,13580968026,7,267050.25,1.96635651809759e-05,50855.4776713371,7265.06823876245
"65","S11C1_3umA_L1","S11C1_3umA_",4340,3053,70321,69492,829591,757981,1049047,2192207,2781,6683,115628,108205,653862,644379,5230198630,13580968026,7.5,380518.5,2.80185108507375e-05,35690.6905341002,4758.75873788002
"66","S11C1_3umA_L2","S11C1_3umA_",4269,3235,70941,70138,834856,767156,1060832,2216539,2851,6646,116329,108103,661177,651713,5230198630,13580968026,7.5,384330.5,2.82991977644172e-05,35336.6907544418,4711.55876725891
"67","S11C1_3umB_L1","S11C1_3umB_",3917,2414,51787,47154,559567,568481,732864,1520930,2545,6482,72472,78395,504858,463516,5230198630,13580968026,7,279810.25,2.06031152907745e-05,48536.3492795564,6933.76418279377
"68","S11C1_3umB_L2","S11C1_3umB_",4020,2467,52168,47609,564092,572777,740506,1538788,2594,6543,73020,78359,509263,467070,5230198630,13580968026,7,281928,2.0759050419695e-05,48171.7602579382,6881.68003684831
"69","S12C1_0_2umA_L1","S12C1_0_2umA_",1985,1349,26732,27752,304227,295942,505919,942879,1569,3052,46358,36039,295984,222146,5230198630,13580968026,10,150131.75,1.10545691376772e-05,90460.332514608,9046.0332514608
"70","S12C1_0_2umA_L2","S12C1_0_2umA_",2012,1344,27097,27585,305733,299254,509108,948629,1553,3232,46013,36545,298476,223280,5230198630,13580968026,10,151078.5,1.11242806632612e-05,89893.4529135516,8989.34529135516
"71","S12C1_0_2umB_L1","S12C1_0_2umB_",1709,1109,25988,30720,347185,333641,500534,923912,1612,2418,42853,35062,318318,259525,5230198630,13580968026,10,163939.5,1.20712676508881e-05,82841.3410190955,8284.13410190955
"72","S12C1_0_2umB_L2","S12C1_0_2umB_",1700,1026,26474,31204,349706,336683,505597,935845,1637,2444,43449,35294,320331,261773,5230198630,13580968026,10,165211.75,1.21649465401665e-05,82203.4027603969,8220.34027603969
"73","S12C1_3umA_L1","S12C1_3umA_",1166,716,14667,17309,205865,186706,284892,519227,1336,2300,34395,24172,197888,176537,5230198630,13580968026,10,108248,7.97056585309422e-06,125461.606921144,12546.1606921144
"74","S12C1_3umA_L2","S12C1_3umA_",1065,696,14727,17772,208479,188109,287153,521488,1383,2315,34498,24129,199489,178917,5230198630,13580968026,10,109258.25,8.04495303949109e-06,124301.533531793,12430.1533531793
"75","S12C1_3umB_L1","S12C1_3umB_",1075,754,17073,20733,235972,218082,314341,584962,1263,2529,44163,30971,227875,213122,5230198630,13580968026,10,129032.75,9.50099799609086e-06,105252.100927865,10525.2100927865
"76","S12C1_3umB_L2","S12C1_3umB_",1099,763,17244,20592,236647,220021,318867,587074,1336,2564,44266,31002,228939,215678,5230198630,13580968026,10,129971.25,9.57010205393145e-06,104492.093643787,10449.2093643787
"77","S13C1_0_2umA_L1","S13C1_0_2umA_",3464,2439,46415,48126,593339,531314,1152564,2070432,2259,4569,80656,68660,540887,453616,5230198630,13580968026,10,285954.75,2.10555499028166e-05,47493.416444385,4749.3416444385
"78","S13C1_0_2umA_L2","S13C1_0_2umA_",3381,2515,46248,48871,600715,538652,1165496,2092057,2310,4608,81604,69078,543700,457671,5230198630,13580968026,10,288013.25,2.12071223088527e-05,47153.9695691084,4715.39695691084
"79","S13C1_0_2umB_L1","S13C1_0_2umB_",3013,2275,48779,57009,654180,603424,1062526,1954133,2388,4958,94409,77525,617047,509428,5230198630,13580968026,10,324602.25,2.39012601589642e-05,41838.798178386,4183.8798178386
"80","S13C1_0_2umB_L2","S13C1_0_2umB_",2999,2223,49494,57667,662390,613790,1076038,1980488,2385,5080,95398,78431,623764,515068,5230198630,13580968026,10,328165.25,2.41636125916611e-05,41384.5403375281,4138.45403375281
"81","S13C1_3umA_L1","S13C1_3umA_",4222,1974,60602,66465,785574,656198,1020242,2014043,3364,5894,96301,91051,583395,593149,5230198630,13580968026,10,340974,2.51067522835798e-05,39829.9225923384,3982.99225923384
"82","S13C1_3umA_L2","S13C1_3umA_",4147,1995,61076,67755,794678,663270,1027870,2040242,3374,5820,97906,91854,586651,598473,5230198630,13580968026,10,343721,2.530902063402e-05,39511.6039636798,3951.16039636798
"83","S13C1_3umB_L1","S13C1_3umB_",2373,1625,44623,42995,562789,480140,697596,1550111,1406,3026,60455,63212,331145,385711,5230198630,13580968026,10,210130.75,1.54724427299819e-05,64631.0358003291,6463.10358003291
"84","S13C1_3umB_L2","S13C1_3umB_",2260,1580,44735,43413,567929,484532,706078,1566088,1286,3067,61444,63668,335710,392137,5230198630,13580968026,10,213239.75,1.57013660286781e-05,63688.7260747586,6368.87260747586
"85","S14C1_0_2umA_L1","S14C1_0_2umA_",2278,1568,33349,38215,439673,406576,799879,1445796,2029,3949,67164,51986,465995,356675,5230198630,13580968026,10,235455,1.73371293967584e-05,57679.6756322864,5767.96756322864
