sample_name,NORM_FACTOR
S34C1_B_2200.HFHN2,11034.71
S34C1_B_2200.HL2CJ,5778.06
S34C1_C_2200.H2NVM,8998.17
S34C1_C_2200.HF73N,12155.67
S34C1_C_2200.HFHN2,15808.3
S34C1_C_2200.HL2CJ,8194.11
S35C1_A_200.H2NVM,8924.61
S35C1_A_200.HF73N,12051.32
S35C1_A_200.HFHN2,15666.43
S35C1_A_200.HL2CJ,8192.86
S35C1_C_200.H2NVM,8887.58
S35C1_C_200.HF73N,12138.53
S35C1_C_200.HFHN2,15617.51
S35C1_C_200.HL2CJ,8247.92
S6C1_A_600.H5C5H,6583.14
S6C1_A_600.HF5MW,5073.1
S6C1_A_600.HF7JC,5424.54
S6C1_A_600.HKVHM,5466.6
S6C1_C_600.H2NVM,11600.56
S6C1_C_600.HF73N,15747.22
S6C1_C_600.HFHN2,20322.34
S6C1_C_600.HL2CJ,10844.41
S7C1_A_1000.H5C5H,8480.83
S7C1_A_1000.HF5MW,6399.64
S7C1_A_1000.HF7JC,6857.67
S7C1_A_1000.HKVHM,7002.04
S7C1_B_1000.H5C5H,7417.93
S7C1_B_1000.HF5MW,5611.22
S7C1_B_1000.HF7JC,6050.2
S7C1_B_1000.HKVHM,6147.2
S8C1_B_1400.H2NVM,6454.17
S8C1_B_1400.HF73N,8621.55
S8C1_B_1400.HFHN2,11141.64
S8C1_B_1400.HL2CJ,5906.35
S8C1_C_1400.H5C5H,19615.15
S8C1_C_1400.HF5MW,15195.09
S8C1_C_1400.HF7JC,16254.27
S8C1_C_1400.HKVHM,16491.18
