sample_name,BPDExtraSmall1,BPDExtraSmall2,BPDSmall1,BPDSmall2,BPDMedium1,BPDMedium2,BPDLarge1,BPDLarge2,SmallStandard1,SmallStandard2,MediumStandard1,MediumStandard2,LargeStandard1,LargeStandard2,MEAN,added,ratio,xFactor,volume,NORM_FACTOR
G3PA.diel.S4C3.B.flash,88961,29885,296630,289591,596994,523789,810701,335837,37,46,110,90,199,243,475590.3333,5230198630,9.09E-05,10997.27699,7,1571.03957
G3PA.diel.S4C3.C.flash,49089,11982,243743,299362,546849,528377,794181,420055,67,15,67,107,236,168,472094.5,5230198630,9.03E-05,11078.71121,7,1582.67303
G3PA.diel.S4C30.A.flash,103464,29837,303754,344473,648324,593388,869467,404263,67,12,43,107,228,112,527278.1667,5230198630,0.000100814,9919.239902,9.5,1044.130516
G3PA.diel.S4C30.B.flash,79597,18548,379387,430985,806536,677611,1235129,482048,86,52,150,256,479,602,668616,5230198630,0.000127838,7822.425174,6,1303.737529
G3PA.diel.S4C30.C.flash,122279,32702,461302,593012,1057759,925478,1535875,658784,64,20,57,170,304,271,872035,5230198630,0.000166731,5997.693476,9.5,631.3361553
G3PA.diel.S4C31.A.flash,78183,28211,260097,304022,655352,598386,839795,423090,9,35,0,51,94,129,513457,5230198630,9.82E-05,10186.24467,8.5,1198.381726
G3PA.diel.S4C31.B.flash,78731,18502,381788,393403,746747,612702,1141387,385539,52,24,48,133,284,343,610261,5230198630,0.00011668,8570.429095,9,952.2698995
G3PA.diel.S4C31.C.flash,110735,29939,246638,280694,556088,526465,756243,345391,133,78,54,234,345,296,451919.8333,5230198630,8.64E-05,11573.28854,10,1157.328854
G3PA.diel.S4C4.A.flash,110870,29540,461763,543334,1003929,838376,1522130,583879,98,25,86,144,371,415,825568.5,5230198630,0.000157846,6335.269127,6,1055.878188
G3PA.diel.S4C4.B.flash,105126,27648,413298,506408,887458,800881,1277478,538152,84,16,144,257,503,492,737279.1667,5230198630,0.000140966,7093.91892,8.5,834.5786965
G3PA.diel.S4C4.C.flash,38094,9234,204163,226065,428068,380352,665096,278499,313,282,3592,4231,8831,17401,363707.1667,5230198630,6.95E-05,14380.24628,8.5,1691.79368
G3PA.diel.S4C7.B.flash,79550,20022,260948,313230,561498,540900,776545,368776,46,25,62,78,144,60,470316.1667,5230198630,8.99E-05,11120.60142,10,1112.060142
G3PA.diel.S4C7.C.flash,104934,30118,331469,359580,785408,628291,1007163,386231,73,55,92,186,300,394,583023.6667,5230198630,0.000111473,8970.817017,10,897.0817017
G3PA.diel.S4C8.A.flash,64800,15721,276115,301263,553045,479766,845105,323264,68,31,67,126,294,231,463093,5230198630,8.85E-05,11294.05677,9,1254.895196
G3PA.diel.S4C8.B.flash,176256,33429,421501,569717,842560,712050,1180636,473058,159,111,308,412,791,869,699920.3333,5230198630,0.000133823,7472.562777,8.5,879.1250326
G3PA.diel.S4C8.C.flash,56511,14586,250678,291921,517336,477337,697254,323895,42,19,69,58,155,186,426403.5,5230198630,8.15E-05,12265.84357,10,1226.584357
